Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;12;0;34;;10;Berge;16,6;582;300;282;35
60;;12;0;34;;20;Bergerdamm;28,71;537;264;273;19
60;;12;0;34;;30;Börnicke;18,72;743;368;375;40
60;;12;0;34;;40;Brädikow;15,85;373;186;187;24
60;;12;0;34;;50;Bredow;19,39;613;293;320;32
60;;12;0;34;;60;Brieselang;17,95; 4 219; 2 046; 2 173;235
60;;12;0;34;;70;Buchow-Karpzow;9,53;269;142;127;28
60;;12;0;34;;80;Dallgow;17,54; 3 028; 1 453; 1 575;173
60;;12;0;34;;90;Elstal;46,1; 1 703;816;887;37
60;;12;0;34;;100;Etzin;8,91;327;160;167;37
60;;12;0;34;;110;Falkenrehde;12,04;588;301;287;49
60;;12;0;34;;120;Falkensee, Stadt;43,24; 22 047; 10 423; 11 624;510
60;;12;0;34;;130;Friesack, Stadt;43,51; 2 383; 1 200; 1 183;55
60;;12;0;34;;140;Groß Behnitz;16,56;705;356;349;43
60;;12;0;34;;150;Grünefeld;16,47;432;196;236;26
60;;12;0;34;;160;Haage;19,38;286;143;143;15
60;;12;0;34;;170;Hoppenrade;5,8;225;113;112;39
60;;12;0;34;;180;Ketzin, Stadt;30,73; 4 187; 1 995; 2 192;136
60;;12;0;34;;190;Kienberg;9,69;361;177;184;37
60;;12;0;34;;200;Klein Behnitz;16,46;187;91;96;11
60;;12;0;34;;220;Lietzow;11,8;317;159;158;27
60;;12;0;34;;230;Markee;18,53;939;478;461;51
60;;12;0;34;;240;Nauen, Stadt;60,35; 10 893; 5 168; 5 725;180
60;;12;0;34;;250;Paaren i. Glien;15,71;442;210;232;28
60;;12;0;34;;260;Paulinenaue;13,83; 1 190;565;625;86
60;;12;0;34;;270;Pausin;20,03;535;256;279;27
60;;12;0;34;;280;Perwenitz;9,98;444;213;231;44
60;;12;0;34;;290;Pessin;20,28;717;354;363;35
60;;12;0;34;;300;Priort;4,77;567;267;300;119
60;;12;0;34;;310;Retzow;15,7;569;271;298;36
60;;12;0;34;;320;Ribbeck;20,55;462;209;253;22
60;;12;0;34;;330;Schönwalde;18,35; 3 047; 1 522; 1 525;166
60;;12;0;34;;350;Selbelang;17,24;349;184;165;20
60;;12;0;34;;360;Senzke;11,02;296;146;150;27
60;;12;0;34;;370;Tietzow;17,86;312;158;154;17
60;;12;0;34;;380;Tremmen;19,49;764;379;385;39
60;;12;0;34;;390;Vietznitz;17,63;299;151;148;17
60;;12;0;34;;400;Wachow;27,25; 1 011;487;524;37
60;;12;0;34;;410;Wagenitz;14,48;340;169;171;23
60;;12;0;34;;420;Wansdorf;19,24;515;271;244;27
60;;12;0;34;;430;Warsow;8,86;217;112;105;24
60;;12;0;34;;440;Wernitz;6,71;214;110;104;32
60;;12;0;34;;450;Wustermark;19,51; 1 366;642;724;70
60;;12;0;34;;460;Wutzetz;11,91;169;76;93;14
60;;12;0;34;;470;Zachow;21,61;614;300;314;28
60;;12;0;34;;480;Zeestow;5,94;196;98;98;33
60;;12;0;34;;490;Zootzen;27,23;453;227;226;17
40;;12;0;35;;;Neuruppin;;;;;
60;;12;0;35;;20;Alt Ruppin, Stadt;25,77; 2 653; 1 285; 1 368;103
60;;12;0;35;;30;Banzendorf;10,71;217;104;113;20
60;;12;0;35;;40;Basdorf;8,22;31;18;13;4
60;;12;0;35;;60;Betzin;9,69;115;51;64;12
60;;12;0;35;;70;Braunsberg;9,95;169;83;86;17
60;;12;0;35;;80;Brunne;15,42;346;166;180;22
60;;12;0;35;;90;Buskow;9,08;210;117;93;23
60;;12;0;35;;100;Dabergotz;12,74;522;239;283;41
60;;12;0;35;;110;Darritz-Wahlendorf;12,12;197;103;94;16
60;;12;0;35;;120;Dechtow;13,2;310;159;151;23
60;;12;0;35;;130;Deutschhof;9,16;299;157;142;33
60;;12;0;35;;140;Dierberg;13,4;296;141;155;22
60;;12;0;35;;150;Fehrbellin, Stadt;16,71; 3 275; 1 573; 1 702;196
60;;12;0;35;;160;Flecken Zechlin;65,68;799;379;420;12
60;;12;0;35;;170;Frankendorf;33,43;261;122;139;8
60;;12;0;35;;180;Königshorst;22,97;559;269;290;24
60;;12;0;35;;190;Garz;8,51;246;117;129;29
60;;12;0;35;;200;Gnewikow;8,63;415;198;217;48
60;;12;0;35;;210;Gottberg;9,98;263;138;125;26
60;;12;0;35;;220;Großzerlang;13,16;118;54;64;9
60;;12;0;35;;230;Gühlen-Glienicke;49,24;610;292;318;12
60;;12;0;35;;240;Hakenberg;13,36;303;145;158;23
60;;12;0;35;;250;Heinrichsdorf;25,57;213;111;102;8
60;;12;0;35;;260;Herzberg;18,56;689;337;352;37
60;;12;0;35;;270;Hindenberg;4,34;120;63;57;28
60;;12;0;35;;280;Kagar;15,71;201;99;102;13
60;;12;0;35;;290;Karwe;18,92;349;162;187;18
60;;12;0;35;;300;Karwesee;10,21;293;153;140;29
60;;12;0;35;;310;Katerbow;15,06;239;118;121;16
60;;12;0;35;;320;Kerzlin;8,12;261;137;124;32
60;;12;0;35;;330;Kleinzerlang;4,29;263;131;132;61
60;;12;0;35;;340;Klosterheide;5,71;218;105;113;38
60;;12;0;35;;350;Kränzlin;13,73;357;168;189;26
60;;12;0;35;;360;Krangen;41,45;222;109;113;5
60;;12;0;35;;370;Küdow-Lüchfeld;10,68;332;155;177;31
60;;12;0;35;;380;Langen;16,78;407;196;211;24
60;;12;0;35;;390;Lentzke;18,21;443;197;246;24
60;;12;0;35;;400;Lichtenberg;8,54;155;72;83;18
60;;12;0;35;;410;Lindow, Stadt;23,87; 2 559; 1 261; 1 298;107
60;;12;0;35;;420;Linow;16,49;418;192;226;25
60;;12;0;35;;430;Linum;28,33;767;392;375;27
60;;12;0;35;;440;Luhme;8,73;162;80;82;19
60;;12;0;35;;450;Manker;16,46;402;201;201;24
60;;12;0;35;;460;Molchow;7,85;227;116;111;29
60;;12;0;35;;470;Netzeband;19,73;193;90;103;10
60;;12;0;35;;480;Neuruppin, Stadt;73,99; 26 925; 12 807; 14 118;364
60;;12;0;35;;490;Nietwerder;7,45;290;147;143;39
60;;12;0;35;;500;Protzen;13,08;481;239;242;37
60;;12;0;35;;510;Radensleben;16,24;638;286;352;39
60;;12;0;35;;520;Rägelin;30,8;458;221;237;15
60;;12;0;35;;530;Rheinsberg, Stadt;62,64; 5 535; 2 676; 2 859;88
60;;12;0;35;;540;Rohrlack;6,43;160;75;85;25
60;;12;0;35;;550;Rüthnick;17,66;373;197;176;21
60;;12;0;35;;560;Schönberg;14,9;302;149;153;20
60;;12;0;35;;570;Schwanow;4,63;143;66;77;31
60;;12;0;35;;580;Seebeck-Strubensee;13,94;276;145;131;20
60;;12;0;35;;590;Stöffin;12,5;308;149;159;25
60;;12;0;35;;600;Storbeck;8,38;183;87;96;22
60;;12;0;35;;620;Tarmow;13,37;311;159;152;23
60;;12;0;35;;630;Vichel;5,37;145;76;69;27
60;;12;0;35;;640;Vielitz;10,22;206;97;109;20
60;;12;0;35;;650;Walchow;7,87;192;99;93;24
60;;12;0;35;;660;Wall;7,46;143;70;73;19
60;;12;0;35;;670;Wallitz;15,44;188;99;89;12
60;;12;0;35;;680;Walsleben;31,77;908;455;453;29
60;;12;0;35;;690;Werder;8,3;274;141;133;33
60;;12;0;35;;700;Wildberg;14,49;733;361;372;51
60;;12;0;35;;710;Wulkow;13,95;417;208;209;30
60;;12;0;35;;720;Wustrau-Altfriesack;33,61; 1 174;584;590;35
60;;12;0;35;;730;Wuthenow;9,78;506;242;264;52
60;;12;0;35;;740;Zechlin Dorf;15,76;326;172;154;21
60;;12;0;35;;750;Zechlinerhütte;19,38;449;219;230;23
60;;12;0;35;;760;Zechow;12,78;150;65;85;12
60;;12;0;35;;770;Zühlen;13,1;246;126;120;19
40;;12;0;36;;;Oranienburg;;;;;
60;;12;0;36;;10;Bärenklau;8,15;502;246;256;62
60;;12;0;36;;20;Beetz;53,81;863;419;444;16
60;;12;0;36;;30;Bergfelde;13,15; 2 902; 1 411; 1 491;221
60;;12;0;36;;50;Birkenwerder b. Berlin;18,09; 5 482; 2 657; 2 825;303
60;;12;0;36;;60;Bötzow;18,98; 1 727;850;877;91
60;;12;0;36;;70;Borgsdorf/ Nordbahn;16,49; 2 694; 1 363; 1 331;163
60;;12;0;36;;80;Eichstädt;8,31;401;204;197;48
60;;12;0;36;;90;Flatow;27,03;635;294;341;23
60;;12;0;36;;100;Freienhagen;7,13;314;152;162;44
60;;12;0;36;;110;Friedrichsthal;5,52; 1 809;855;954;328
60;;12;0;36;;120;Germendorf;15,25; 1 068;521;547;70
60;;12;0;36;;130;Glienicke/ Nordbahn;4,6; 4 407; 2 067; 2 340;958
60;;12;0;36;;140;Groß-Ziethen;12,65;233;113;120;18
60;;12;0;36;;150;Hammer;20,2;698;346;352;35
60;;12;0;36;;160;Hennigsdorf b. Berlin, Stadt;24,56; 24 387; 11 661; 12 726;993
60;;12;0;36;;170;Hohenbruch;35,05;391;194;197;11
60;;12;0;36;;180;Hohen Neuendorf b. Berlin;7,81; 8 243; 3 935; 4 308;1 055
60;;12;0;36;;190;Kremmen, Stadt;37,26; 2 687; 1 281; 1 406;72
60;;12;0;36;;200;Kreuzbruch;45,68;200;102;98;4
60;;12;0;36;;210;Leegebruch;4,62; 4 149; 2 036; 2 113;898
60;;12;0;36;;220;Lehnitz/ Nordbahn;11,68; 2 052;990; 1 062;176
60;;12;0;36;;230;Liebenthal;5,86;230;117;113;39
60;;12;0;36;;240;Liebenwalde, Stadt;32,55; 2 855; 1 383; 1 472;88
60;;12;0;36;;250;Malz;17,81;357;166;191;20
60;;12;0;36;;260;Marwitz;15,96;984;508;476;62
60;;12;0;36;;270;Mühlenbeck;18,96; 2 275; 1 103; 1 172;120
60;;12;0;36;;280;Nassenheide;13,45; 1 113;545;568;83
60;;12;0;36;;290;Neuendorf;30,23;168;86;82;6
60;;12;0;36;;300;Neuholland;25,72;673;356;317;26
60;;12;0;36;;310;Neu-Vehlefanz;22,95;199;104;95;9
60;;12;0;36;;320;Oranienburg, Stadt;45,77; 28 696; 13 870; 14 826;627
60;;12;0;36;;340;Schildow;6,58; 2 509; 1 225; 1 284;381
60;;12;0;36;;350;Schmachtenhagen;28,97; 1 379;691;688;48
60;;12;0;36;;360;Schönfließ;10,63;414;217;197;39
60;;12;0;36;;370;Schwante;16,24;985;464;521;61
60;;12;0;36;;380;Sommerfeld;16,36; 1 041;522;519;64
60;;12;0;36;;390;Staffelde;20,44;398;195;203;19
60;;12;0;36;;400;Stolpe-Dorf;17,14;274;137;137;16
60;;12;0;36;;410;Stolpe-Süd;0,28;422;206;216;1 507
60;;12;0;36;;420;Teschendorf;18,64;834;398;436;45
60;;12;0;36;;430;Vehlefanz;18,45;879;432;447;48
60;;12;0;36;;440;Velten, Stadt;22,98; 10 450; 5 064; 5 386;455
60;;12;0;36;;450;Wensickendorf;22,18;797;398;399;36
60;;12;0;36;;460;Zehlendorf;16,7;953;471;482;57
60;;12;0;36;;470;Zühlsdorf;16,13; 1 070;508;562;66
40;;12;0;37;;;Perleberg;;;;;
60;;12;0;37;;20;Baek;32,51;748;369;379;23
60;;12;0;37;;40;Bendelin;26,86;284;138;146;11
60;;12;0;37;;50;Bentwisch;12,7;206;93;113;16
60;;12;0;37;;60;Berge;33,55; 1 215;589;626;36
60;;12;0;37;;70;Blüthen;18,53;415;205;210;22
60;;12;0;37;;80;Boberow;14,32;281;140;141;20
60;;12;0;37;;90;Breese;6,3; 1 127;530;597;179
60;;12;0;37;;110;Brunow;21,09;435;215;220;21
60;;12;0;37;;140;Cumlosen;21,85;848;418;430;39
60;;12;0;37;;150;Dallmin;15,81;770;376;394;49
60;;12;0;37;;160;Dambeck;17,35;406;195;211;23
60;;12;0;37;;180;Dergenthin;11,08;337;175;162;30
60;;12;0;37;;200;Garlin;37,24;724;342;382;19
60;;12;0;37;;230;Glöwen;46,33; 2 014;976; 1 038;43
60;;12;0;37;;250;Groß Breese;17,29;337;164;173;19
60;;12;0;37;;310;Groß Warnow;13,87;413;195;218;30
60;;12;0;37;;330;Grube;13,55;297;175;122;22
60;;12;0;37;;340;Gülitz;16,08;372;178;194;23
60;;12;0;37;;390;Karstädt;29,7; 3 816; 1 854; 1 962;128
60;;12;0;37;;410;Klein Gottschow;17,71;234;115;119;13
60;;12;0;37;;430;Kleinow;30,42;720;345;375;24
60;;12;0;37;;450;Kletzke;27,8;553;265;288;20
60;;12;0;37;;470;Krampfer;22,56;433;203;230;19
60;;12;0;37;;480;Kribbe;15,32;334;161;173;22
60;;12;0;37;;500;Laaslich;15,03;250;117;133;17
60;;12;0;37;;510;Legde;31,01;581;285;296;19
60;;12;0;37;;530;Mankmuß;23,72;250;115;135;11
60;;12;0;37;;590;Nebelin;10,56;256;129;127;24
60;;12;0;37;;600;Netzow;8,14;323;163;160;40
60;;12;0;37;;620;Perleberg, Stadt;81,26; 13 646; 6 551; 7 095;168
60;;12;0;37;;640;Pirow;27,75;559;269;290;20
60;;12;0;37;;660;Premslin;20,15;604;284;320;30
60;;12;0;37;;670;Pröttlin;23,23;597;293;304;26
60;;12;0;37;;680;Quitzöbel;10,4;340;163;177;33
60;;12;0;37;;690;Quitzow;28,7;708;337;371;25
60;;12;0;37;;720;Reckenzin;14,71;274;129;145;19
60;;12;0;37;;730;Reetz;8,19;258;130;128;32
60;;12;0;37;;740;Retzin;18,45;312;141;171;17
60;;12;0;37;;770;Rühstädt;28,79;661;295;366;23
60;;12;0;37;;880;Sükow;16,73;248;115;133;15
60;;12;0;37;;920;Viesecke;20,56;396;189;207;19
60;;12;0;37;;930;Weisen;15,6; 1 121;557;564;72
60;;12;0;37;;950;Bad Wilsnack, Stadt;65,65; 2 826; 1 306; 1 520;43
60;;12;0;37;;960;Wittenberge, Stadt;37,72; 27 964; 13 306; 14 658;741
60;;12;0;37;;970;Wolfshagen;39,48;885;413;472;22
40;;12;0;38;;;Potsdam;;;;;
60;;12;0;38;;10;Töplitz;18,13; 1 358;658;700;75
60;;12;0;38;;20;Beelitz, Stadt;49,04; 5 908; 2 857; 3 051;120
60;;12;0;38;;30;Bergholz-Rehbrücke;10,65; 3 068; 1 481; 1 587;288
60;;12;0;38;;40;Bliesendorf;13,23;374;177;197;28
60;;12;0;38;;50;Bochow;9,32;560;285;275;60
60;;12;0;38;;60;Buchholz b. Treuenbrietzen;11,24;457;228;229;41
60;;12;0;38;;70;Busendorf;23,38;408;200;208;17
60;;12;0;38;;80;Caputh;12,84; 3 161; 1 505; 1 656;246
60;;12;0;38;;90;Derwitz;7,77;310;149;161;40
60;;12;0;38;;100;Eiche;2,31;927;442;485;401
60;;12;0;38;;110;Elsholz;10,37;307;153;154;30
60;;12;0;38;;120;Fahlhorst;4,64;113;56;57;24
60;;12;0;38;;130;Fahrland;27,58; 1 171;582;589;42
60;;12;0;38;;140;Ferch;35,99;929;443;486;26
60;;12;0;38;;150;Fichtenwalde;6,54;956;473;483;146
60;;12;0;38;;160;Fresdorf;9,22;269;132;137;29
60;;12;0;38;;170;Geltow;9,31; 2 080; 1 025; 1 055;223
60;;12;0;38;;180;Glindow;12,96; 3 200; 1 536; 1 664;247
60;;12;0;38;;190;Göhlsdorf;14,39;829;394;435;58
60;;12;0;38;;200;Golm;11,45; 1 118;581;537;98
60;;12;0;38;;210;Groß Glienicke;10,25; 1 570;775;795;153
60;;12;0;38;;220;Groß Kreutz;14,6; 1 738;822;916;119
60;;12;0;38;;230;Grube;6,44;232;110;122;36
60;;12;0;38;;240;Güterfelde;18,41; 1 351;654;697;73
60;;12;0;38;;250;Kähnsdorf;4,84;194;102;92;40
60;;12;0;38;;270;Kemnitz;5,34;393;200;193;74
60;;12;0;38;;280;Kleinmachnow;11,89; 11 565; 5 547; 6 018;973
60;;12;0;38;;300;Krielow;10,46;328;165;163;31
60;;12;0;38;;310;Langerwisch;12,24; 1 254;592;662;102
60;;12;0;38;;330;Marquardt;5,26;939;449;490;179
60;;12;0;38;;340;Michendorf;13,56; 2 598; 1 257; 1 341;192
60;;12;0;38;;350;Neu Fahrland;3,31;880;425;455;266
60;;12;0;38;;360;Neuseddin;14,09; 3 159; 1 571; 1 588;224
60;;12;0;38;;380;Nudow;8,26;209;93;116;25
60;;12;0;38;;390;Philippsthal;2,01;190;89;101;95
60;;12;0;38;;400;Phöben;9,86;543;252;291;55
60;;12;0;38;;420;Plötzin;21,06; 1 007;494;513;48
60;;12;0;38;;430;Reesdorf;12,87;105;54;51;8
60;;12;0;38;;440;Rieben;14,07;345;180;165;25
60;;12;0;38;;450;Ruhlsdorf;7,75;861;415;446;111
60;;12;0;38;;460;Saarmund;12,78;958;466;492;75
60;;12;0;38;;470;Salzbrunn;4,31;153;65;88;35
60;;12;0;38;;480;Satzkorn;6,63;268;136;132;40
60;;12;0;38;;490;Schäpe;10,99;110;58;52;10
60;;12;0;38;;500;Schenkenhorst;7,27;345;174;171;47
60;;12;0;38;;510;Schlunkendorf;7,07;155;78;77;22
60;;12;0;38;;520;Schmergow;16,36;848;412;436;52
60;;12;0;38;;540;Seddin;5,29;795;399;396;150
60;;12;0;38;;550;Seeburg;9,38;399;210;189;43
60;;12;0;38;;560;Sputendorf b. Großbeeren;9,47;415;193;222;44
60;;12;0;38;;570;Stahnsdorf;13,91; 5 809; 2 828; 2 981;418
60;;12;0;38;;580;Stücken;13,8;363;185;178;26
60;;12;0;38;;590;Teltow, Stadt;13,79; 14 859; 7 119; 7 740;1 078
60;;12;0;38;;600;Tremsdorf;9,18;182;86;96;20
60;;12;0;38;;610;Uetz-Paaren;13,42;380;185;195;28
60;;12;0;38;;620;Werder/ Havel, Stadt;27,59; 10 722; 5 128; 5 594;389
60;;12;0;38;;630;Wildenbruch;11,22; 1 081;548;533;96
60;;12;0;38;;640;Wilhelmshorst;8,48; 1 851;872;979;218
60;;12;0;38;;650;Wittbrietzen;15,69;576;284;292;37
60;;12;0;38;;660;Zauchwitz;14,29;349;166;183;24
40;;12;0;39;;;Prenzlau;;;;;
60;;12;0;39;;10;Arendsee;17,67;285;148;137;16
60;;12;0;39;;20;Beenz;11,52;320;158;162;28
60;;12;0;39;;30;Bertikow;8,5;204;107;97;24
60;;12;0;39;;40;Bietikow;9,38;224;117;107;24
60;;12;0;39;;50;Blankenburg;11,37;434;223;211;38
60;;12;0;39;;60;Blindow;11;177;84;93;16
60;;12;0;39;;70;Carmzow;19,51;489;237;252;25
60;;12;0;39;;90;Damme;9,75;305;156;149;31
60;;12;0;39;;100;Dauer;11,32;214;106;108;19
60;;12;0;39;;110;Dedelow;16,56; 1 248;622;626;75
60;;12;0;39;;120;Drense;7,58;179;86;93;24
60;;12;0;39;;130;Eickstedt;22,41;453;233;220;20
60;;12;0;39;;140;Falkenhagen;9,91;170;81;89;17
60;;12;0;39;;150;Falkenwalde;18,43;401;206;195;22
60;;12;0;39;;160;Ferdinandshorst;8,76;139;69;70;16
60;;12;0;39;;170;Fürstenwerder;28,98;993;492;501;34
60;;12;0;39;;180;Göritz;25,42;943;443;500;37
60;;12;0;39;;190;Gollmitz;32,43;871;422;449;27
60;;12;0;39;;200;Gramzow;24,7; 1 329;654;675;54
60;;12;0;39;;230;Grünow;17,54;413;194;219;24
60;;12;0;39;;240;Güstow;10;228;112;116;23
60;;12;0;39;;250;Hohengüstow;9,61;365;181;184;38
60;;12;0;39;;260;Holzendorf;12,87;276;139;137;21
60;;12;0;39;;270;Klinkow;9,75;252;125;127;26
60;;12;0;39;;280;Kraatz;9,45;119;59;60;13
60;;12;0;39;;290;Ludwigsburg;19,05;533;260;273;28
60;;12;0;39;;300;Lützlow;18,69;414;211;203;22
60;;12;0;39;;310;Meichow;10,9;302;151;151;28
60;;12;0;39;;350;Parmen-Weggun;30,45;503;264;239;17
60;;12;0;39;;360;Potzlow;22,26;517;251;266;23
60;;12;0;39;;370;Prenzlau, Stadt;69,48; 23 315; 11 200; 12 115;336
60;;12;0;39;;390;Röpersdorf;16,66;329;167;162;20
60;;12;0;39;;400;Schapow;24,67;638;307;331;26
60;;12;0;39;;410;Schenkenberg;10,99;334;179;155;30
60;;12;0;39;;420;Schmölln;29,14;759;369;390;26
60;;12;0;39;;430;Schönermark;21,57;702;331;371;33
60;;12;0;39;;440;Schönfeld;29,03;861;417;444;30
60;;12;0;39;;450;Schönwerder;13,67;319;155;164;23
60;;12;0;39;;470;Seehausen;11,08;189;89;100;17
60;;12;0;39;;480;Seelübbe;8,21;188;96;92;23
60;;12;0;39;;490;Sternhagen;20,39;279;142;137;14
60;;12;0;39;;500;Wallmow;12,34;320;153;167;26
60;;12;0;39;;510;Warnitz;40,17;752;389;363;19
60;;12;0;39;;530;Ziemkendorf;12,15;154;71;83;13
40;;12;0;40;;;Pritzwalk;;;;;
60;;12;0;40;;10;Alt Krüssow;6,98;121;61;60;17
60;;12;0;40;;20;Beveringen;11,97;354;172;182;30
60;;12;0;40;;30;Blumenthal;26,67;990;479;511;37
60;;12;0;40;;40;Boddin-Langnow;27,13;287;144;143;11
60;;12;0;40;;70;Buchholz;16,02;436;213;223;27
60;;12;0;40;;90;Falkenhagen;10,67;425;214;211;40
60;;12;0;40;;100;Frehne;13,35;262;136;126;20
60;;12;0;40;;110;Gerdshagen;21,5;616;322;294;29
60;;12;0;40;;120;Giesensdorf;8,62;245;119;126;28
60;;12;0;40;;130;Grabow b. Blumenthal;9,57;309;153;156;32
60;;12;0;40;;140;Grabow-Buckow;10,29;248;123;125;24
60;;12;0;40;;150;Groß Pankow;18,39;691;358;333;38
60;;12;0;40;;160;Groß Woltersdorf;8,54;139;66;73;16
60;;12;0;40;;170;Halenbeck;26,95;543;266;277;20
60;;12;0;40;;180;Helle;14,76;460;231;229;31
60;;12;0;40;;190;Hoppenrade;18,09;379;182;197;21
60;;12;0;40;;200;Hülsebeck;9,7;114;56;58;12
60;;12;0;40;;210;Jännersdorf;20,78;148;71;77;7
60;;12;0;40;;220;Kehrberg;12,5;308;160;148;25
60;;12;0;40;;230;Kemnitz;17,69;344;171;173;19
60;;12;0;40;;240;Klein Woltersdorf;9,31;346;163;183;37
60;;12;0;40;;250;Krempendorf;15,93;262;126;136;16
60;;12;0;40;;260;Kuhbier;9,91;232;114;118;23
60;;12;0;40;;270;Kuhsdorf;9,9;218;106;112;22
60;;12;0;40;;280;Laaske;9,21;267;129;138;29
60;;12;0;40;;300;Lindenberg;10,55;380;194;186;36
60;;12;0;40;;310;Lockstädt;6,97;160;74;86;23
60;;12;0;40;;320;Lütkendorf;13,18;135;66;69;10
60;;12;0;40;;330;Mansfeld;10,01;112;50;62;11
60;;12;0;40;;340;Mertensdorf;13,08;215;108;107;16
60;;12;0;40;;350;Mesendorf;10,74;169;77;92;16
60;;12;0;40;;360;Meyenburg, Stadt;32,46; 2 665; 1 304; 1 361;82
60;;12;0;40;;370;Nettelbeck;10,69;200;91;109;19
60;;12;0;40;;380;Porep;9,92;167;80;87;17
60;;12;0;40;;390;Preddöhl;9,92;206;106;100;21
60;;12;0;40;;400;Pritzwalk, Stadt;38,3; 12 051; 5 812; 6 239;315
60;;12;0;40;;410;Putlitz, Stadt;25,18; 2 104; 1 052; 1 052;84
60;;12;0;40;;430;Rohlsdorf;12,49;262;129;133;21
60;;12;0;40;;440;Rosenwinkel;13,27;146;73;73;11
60;;12;0;40;;450;Sadenbeck;11,76;520;268;252;44
60;;12;0;40;;460;Sagast;12,58;203;99;104;16
60;;12;0;40;;480;Schmolde;18,96;404;199;205;21
60;;12;0;40;;490;Schönebeck;18,96;193;96;97;10
60;;12;0;40;;500;Schönhagen;7,89;291;142;149;37
60;;12;0;40;;510;Silmersdorf;8,25;159;69;90;19
60;;12;0;40;;520;Steffenshagen;7,38;299;163;136;41
60;;12;0;40;;530;Stepenitz;26,83;340;156;184;13
60;;12;0;40;;540;Telschow-Weitgendorf;20,74;331;173;158;16
60;;12;0;40;;550;Triglitz;10,21;255;120;135;25
60;;12;0;40;;560;Tüchen;15,72;310;156;154;20
60;;12;0;40;;570;Vettin;6,36;134;64;70;21
60;;12;0;40;;590;Wilmersdorf;15,03;355;163;192;24
40;;12;0;41;;;Rathenow;;;;;
60;;12;0;41;;20;Bamme;20,62;349;159;190;17
60;;12;0;41;;30;Barnewitz;22,66;358;176;182;16
60;;12;0;41;;40;Böhne;13;291;144;147;22
60;;12;0;41;;50;Buckow b. Nennhausen;7,3;121;60;61;17
60;;12;0;41;;60;Bützer;6,73;564;269;295;84
60;;12;0;41;;70;Buschow;11,41;492;237;255;43
60;;12;0;41;;80;Damme;7,71;134;68;66;17
60;;12;0;41;;90;Döberitz;19,47;789;397;392;41
60;;12;0;41;;100;Ferchesar;27,96;322;159;163;12
60;;12;0;41;;110;Garlitz;26,66;384;181;203;14
60;;12;0;41;;120;Görne;21,57;204;104;100;9
60;;12;0;41;;130;Göttlin;13,29;395;196;199;30
60;;12;0;41;;140;Gräningen;11,27;240;115;125;21
60;;12;0;41;;150;Großderschau;20;601;292;309;30
60;;12;0;41;;160;Großwudicke;37,05;945;457;488;26
60;;12;0;41;;170;Grütz;16,13;147;70;77;9
60;;12;0;41;;180;Gülpe;9,29;175;91;84;19
60;;12;0;41;;190;Hohennauen;34,51;767;410;357;22
60;;12;0;41;;200;Jerchel;10,05;260;125;135;26
60;;12;0;41;;220;Kleßen;20,45;304;154;150;15
60;;12;0;41;;230;Kotzen;19,41;461;243;218;24
60;;12;0;41;;240;Kriele;12,68;174;88;86;14
60;;12;0;41;;250;Landin;10,64;78;37;41;7
60;;12;0;41;;260;Liepe;11;199;95;104;18
60;;12;0;41;;270;Milow;16,2; 1 484;729;755;92
60;;12;0;41;;280;Mögelin;14,39;834;420;414;58
60;;12;0;41;;290;Möthlitz;20,95;416;221;195;20
60;;12;0;41;;300;Möthlow;10,26;186;87;99;18
60;;12;0;41;;310;Mützlitz;10,8;175;83;92;16
60;;12;0;41;;320;Nennhausen;20,13; 1 006;500;506;50
60;;12;0;41;;330;Schönholz-Neuwerder;14,56;198;91;107;14
60;;12;0;41;;340;Nitzahn;16,03;455;227;228;28
60;;12;0;41;;350;Parey;8,48;86;40;46;10
60;;12;0;41;;360;Premnitz, Stadt;11,57; 10 815; 5 156; 5 659;935
60;;12;0;41;;380;Rathenow, Stadt;45,71; 29 823; 14 096; 15 727;652
60;;12;0;41;;390;Rhinow, Stadt;31,49; 2 137; 1 049; 1 088;68
60;;12;0;41;;410;Semlin;10,27;413;205;208;40
60;;12;0;41;;420;Spaatz;11,75;429;214;215;37
60;;12;0;41;;430;Stechow;23,08;458;226;232;20
60;;12;0;41;;440;Steckelsdorf;13,92;525;261;264;38
60;;12;0;41;;450;Stölln;15,92;319;155;164;20
60;;12;0;41;;460;Strodehne;26,69;279;133;146;10
60;;12;0;41;;470;Vieritz;19,12;352;176;176;18
60;;12;0;41;;480;Wassersuppe;5,79;114;60;54;20
60;;12;0;41;;490;Witzke;7,64;136;68;68;18
60;;12;0;41;;500;Wolsier;17,9;179;92;87;10
60;;12;0;41;;510;Zollchow;34,27;521;255;266;15
40;;12;0;42;;;Seelow;;;;;
60;;12;0;42;;10;Altbarnim;7,23;151;70;81;21
60;;12;0;42;;20;Altfriedland;24,48;434;221;213;18
60;;12;0;42;;30;Alt Mahlisch;8,69;185;86;99;21
60;;12;0;42;;40;Alt Tucheband;17,92;685;334;351;38
