Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;1;0;51;;134;Windbergen;17,29;703;344;359;41
60;;1;0;51;;135;Wolmersdorf;6,1;297;150;147;49
60;;1;0;51;;136;Wrohm;11,44;690;346;344;60
60;;1;0;51;;137;Nordermeldorf;23,39;615;328;287;26
60;;1;0;51;;138;Tensbüttel-Röst;19,39;521;261;260;27
60;;1;0;51;;139;Süderdorf;16,21;371;181;190;23
60;;1;0;51;;140;Oesterwurth;14,19;280;145;135;20
40;;1;0;53;;;Herzogtum Lauenburg;;;;;
60;;1;0;53;;1;Albsfelde;4,18;60;31;29;14
60;;1;0;53;;2;Alt Mölln;6,44;720;361;359;112
60;;1;0;53;;3;Aumühle;3,47; 3 365; 1 511; 1 854;970
60;;1;0;53;;4;Bäk;4,3;695;327;368;162
60;;1;0;53;;5;Bälau;6,5;209;105;104;32
60;;1;0;53;;6;Basedow;7,47;442;231;211;59
60;;1;0;53;;7;Basthorst;10,82;365;187;178;34
60;;1;0;53;;8;Behlendorf;10,26;330;167;163;32
60;;1;0;53;;9;Berkenthin;10,22; 1 391;636;755;136
60;;1;0;53;;10;Besenthal;12,65;76;41;35;6
60;;1;0;53;;11;Bliestorf;10,35;489;240;249;47
60;;1;0;53;;12;Börnsen;8,42; 3 206; 1 547; 1 659;381
60;;1;0;53;;13;Borstorf;8,64;266;133;133;31
60;;1;0;53;;14;Breitenfelde;12,54; 1 641;811;830;131
60;;1;0;53;;15;Bröthen;10,69;212;111;101;20
60;;1;0;53;;16;Brunsmark;4,29;100;49;51;23
60;;1;0;53;;17;Brunstorf;13,76;451;235;216;33
60;;1;0;53;;18;Buchholz;2,92;213;104;109;73
60;;1;0;53;;19;Buchhorst;5,18;174;88;86;34
60;;1;0;53;;20;Büchen;16,85; 4 889; 2 417; 2 472;290
60;;1;0;53;;21;Dahmker;2,04;95;50;45;47
60;;1;0;53;;22;Dalldorf;6,05;255;136;119;42
60;;1;0;53;;23;Dassendorf;7,95; 2 709; 1 335; 1 374;341
60;;1;0;53;;24;Düchelsdorf;3,01;133;70;63;44
60;;1;0;53;;25;Duvensee;12,4;464;230;234;37
60;;1;0;53;;26;Einhaus;2,53;303;152;151;120
60;;1;0;53;;27;Elmenhorst;12,99;722;393;329;56
60;;1;0;53;;28;Escheburg;8,91; 1 548;770;778;174
60;;1;0;53;;29;Fitzen;9,11;261;136;125;29
60;;1;0;53;;30;Fredeburg;10,09;40;21;19;4
60;;1;0;53;;31;Fuhlenhagen;5,74;272;122;150;47
60;;1;0;53;;32;Geesthacht, Stadt;33,19; 26 246; 12 712; 13 534;791
60;;1;0;53;;33;Giesensdorf;2,73;86;39;47;32
60;;1;0;53;;34;Göldenitz;5,18;169;81;88;33
60;;1;0;53;;35;Göttin;5,21;53;25;28;10
60;;1;0;53;;36;Grabau;4,1;247;117;130;60
60;;1;0;53;;37;Grambek;12,66;338;171;167;27
60;;1;0;53;;38;Grinau;2,74;268;113;155;98
60;;1;0;53;;39;Groß Boden;2,7;205;104;101;76
60;;1;0;53;;40;Groß Disnack;5,99;88;44;44;15
60;;1;0;53;;41;Groß Grönau;4,9; 3 811; 1 860; 1 951;778
60;;1;0;53;;42;Groß Pampau;4,31;107;48;59;25
60;;1;0;53;;43;Groß Sarau;16,93;760;375;385;45
60;;1;0;53;;44;Groß Schenkenberg;6,52;452;231;221;69
60;;1;0;53;;45;Grove;5,28;217;109;108;41
60;;1;0;53;;46;Gudow;42,26; 1 408;720;688;33
60;;1;0;53;;47;Gülzow;17,07; 1 016;509;507;60
60;;1;0;53;;48;Güster;7,78;740;382;358;95
60;;1;0;53;;49;Hamfelde;3,47;479;240;239;138
60;;1;0;53;;50;Hamwarde;6,68;711;370;341;106
60;;1;0;53;;51;Harmsdorf;3,57;269;129;140;75
60;;1;0;53;;52;Havekost;5,91;125;60;65;21
60;;1;0;53;;53;Hohenhorn;6,93;417;218;199;60
60;;1;0;53;;54;Hollenbek;7,22;382;176;206;53
60;;1;0;53;;56;Hornbek;5,89;173;83;90;29
60;;1;0;53;;57;Horst;11,93;252;125;127;21
60;;1;0;53;;58;Juliusburg;6,04;173;88;85;29
60;;1;0;53;;59;Kankelau;4,21;201;104;97;48
60;;1;0;53;;60;Kasseburg;7,89;508;254;254;64
60;;1;0;53;;61;Kastorf;6,9;623;307;316;90
60;;1;0;53;;62;Kittlitz;17,68;262;133;129;15
