Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2015 (Jahr);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2
am 31.12.2015 (Jahr) 1)";Bevölkerung;;;;Post-leit-zahl 2);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung;
;;Gebietsstand am 31.12.2015 (Jahr), Fläche im Juli 2017 revidiert  ;;;;;;;"am 31.12.2015 (Jahr) 
auf Grundlage des Zensus 2011";;;;;Zuordnungsstand am 31.12.2014 (Jahr);;;;;;
;;;;;;;;;;;;;;;;;;;;
60;64;07;2;32;5008;124;Stockem;3,97;  89;  46;  43;  22;54646;6,380973;49,928632;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;125;Sülm;7,05;  433;  218;  215;  61;54636;6,57467;49,921198;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;126;Trimport;2,19;  286;  146;  140;  131;54636;6,577073;49,909694;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;129;Usch;1,33;  61;  33;  28;  46;54655;6,602256;50,105639;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;133;Wettlingen;3,46;  45;  18;  27;  13;54646;6,406119;49,929702;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;134;Wiersdorf;4,06;  285;  150;  135;  70;54636;6,453712;50,007805;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;135;Wilsecker;4,53;  197;  101;  96;  43;54655;6,583561;50,025784;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;137;Wolsfeld;9,27;  959;  493;  466;  103;54636;6,467446;49,90632;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;203;Balesfeld;2,35;  226;  116;  110;  96;54597;6,531377;50,104036;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;210;Burbach;16,88;  676;  351;  325;  40;54597;6,518362;50,106196;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;228;Gransdorf;7,08;  313;  159;  154;  44;54533;6,689936;50,016162;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;273;Neuheilenbach;0,97;  244;  127;  117;  252;54597;6,560827;50,113237;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;282;Oberkail;24,26;  589;  302;  287;  24;54533;6,679024;50,037031;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;306;Seinsfeld;6,70;  155;  86;  69;  23;54655;6,644923;50,056237;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;313;Steinborn;11,29;  197;  99;  98;  17;54655;6,627087;50,067778;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;331;Zendscheid;2,35;  125;  59;  66;  53;54655;6,605353;50,099458;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;501;Wißmannsdorf;6,72;  794;  389;  405;  118;54636;6,443817;49,987684;J12;Eifel;03;gering besiedelt;
40;44;07;2;33;;;Vulkaneifel;;  ;  ;  ;;;;;;;;;
50;53;07;2;33;5001;;Daun;;  ;  ;  ;;;;;;;;;
60;64;07;2;33;5001;006;Betteldorf;3,31;  282;  140;  142;  85;54570;6,753342;50,252694;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;008;Bleckhausen;6,32;  298;  149;  149;  47;54570;6,776773;50,126199;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;011;Brockscheid;2,05;  201;  100;  101;  98;54552;6,845128;50,13236;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;014;Darscheid;5,80;  831;  392;  439;  143;54552;6,890826;50,213264;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;016;Demerath;10,51;  315;  159;  156;  30;54552;6,941585;50,173678;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;017;Deudesfeld;8,03;  369;  175;  194;  46;54570;6,732151;50,10252;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;018;Dockweiler;6,05;  667;  336;  331;  110;54552;6,779696;50,252409;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;020;Dreis-Brück;18,18;  834;  420;  414;  46;54552;6,78985;50,264954;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;021;Ellscheid;5,21;  272;  138;  134;  52;54552;6,915032;50,150067;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;025;Gefell;2,79;  102;  54;  48;  37;54552;6,911168;50,238523;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;027;Gillenfeld;14,99; 1 441;  721;  720;  96;54558;6,905652;50,127433;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;030;Hinterweiler;5,32;  214;  104;  110;  40;54570;6,755537;50,236397;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;031;Hörscheid;4,04;  130;  64;  66;  32;54552;6,874115;50,217537;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;034;Immerath;5,94;  237;  128;  109;  40;54552;6,956368;50,130917;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;039;Kirchweiler;6,31;  376;  197;  179;  60;54570;6,744762;50,229711;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;040;Kradenbach;1,73;  143;  72;  71;  83;54552;6,853605;50,255451;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;042;Mehren;12,95; 1 451;  704;  747;  112;54552;6,88069;50,176524;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;043;Meisburg;7,05;  243;  121;  122;  34;54570;6,688324;50,110638;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;046;Mückeln;4,73;  214;  103;  111;  45;54558;6,923329;50,086812;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;049;Nerdlen;4,45;  237;  121;  116;  53;54552;6,859639;50,235554;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;052;Niederstadtfeld;9,13;  458;  245;  213;  50;54570;6,761043;50,159387;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;055;Oberstadtfeld;10,21;  541;  268;  273;  53;54570;6,7655;50,175902;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;061;Sarmersbach;5,19;  188;  100;  88;  36;54552;6,878757;50,240818;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;062;Saxler;1,82;  74;  36;  38;  41;54558;6,896739;50,139944;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;063;Schalkenmehren;10,40;  576;  305;  271;  55;54552;6,858851;50,165588;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;064;Schönbach;4,67;  280;  149;  131;  60;54552;6,94593;50,215429;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;065;Schutz;9,04;  145;  75;  70;  16;54570;6,761033;50,128892;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;067;Steineberg;2,93;  242;  127;  115;  83;54552;6,914548;50,179887;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;068;Steiningen;7,60;  196;  93;  103;  26;54552;6,913792;50,186511;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;070;Strohn;8,60;  513;  269;  244;  60;54558;6,922709;50,110367;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;071;Strotzbüsch;6,45;  419;  204;  215;  65;54552;6,965163;50,110391;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;074;Udler;6,30;  279;  138;  141;  44;54552;6,876841;50,137865;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;075;Üdersdorf;17,47; 1 109;  555;  554;  63;54552;6,803444;50,152469;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;077;Utzerath;5,70;  185;  90;  95;  32;54552;6,935374;50,22247;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;079;Wallenborn;8,23;  432;  222;  210;  52;54570;6,721234;50,154439;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;081;Weidenbach;10,73;  251;  122;  129;  23;54570;6,709005;50,129313;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5001;084;Winkel (Eifel);6,69;  127;  68;  59;  19;54558;6,944384;50,146399;J12;Eifel;03;gering besiedelt;
60;63;07;2;33;5001;501;Daun, Stadt;48,98; 7 994; 3 915; 4 079;  163;54550;6,830555;50,196727;J12;Eifel;02;mittlere Besiedlungsdichte;
50;53;07;2;33;5002;;Gerolstein;;  ;  ;  ;;;;;;;;;
60;64;07;2;33;5002;004;Berlingen;3,59;  229;  111;  118;  64;54570;6,719442;50,238788;J12;Eifel;03;gering besiedelt;
60;63;07;2;33;5002;026;Gerolstein, Stadt;64,38; 7 504; 3 707; 3 797;  117;54568;6,659875;50,221958;J12;Eifel;02;mittlere Besiedlungsdichte;
60;64;07;2;33;5002;033;Hohenfels-Essingen;5,02;  308;  160;  148;  61;54570;6,727197;50,249871;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;036;Kalenborn-Scheuern;7,34;  407;  192;  215;  55;54570;6,602708;50,258436;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;050;Neroth;7,24;  846;  424;  422;  117;54570;6,74611;50,195862;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;056;Pelm;10,06;  970;  477;  493;  96;54570;6,688389;50,232461;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;058;Rockeskyll;5,88;  230;  117;  113;  39;54570;6,695132;50,255407;J12;Eifel;03;gering besiedelt;
