Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2017 (Jahr);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2 1)
am 31.12.2017";Bevölkerung2);;;;Post-leit-zahl3);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;;;;
;;Gebietsstand am 31.12.2017 (Jahr);;;;;;;am 31.12.2017 (Jahr) ;;;;;Zuordnungsstand am 31.12.2017;;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung
;;;;;;;;;;;;;;;;;;;
60;64;1;0;51;5172;81;Norderwöhrden;18,47;267;149;118;14;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;82;Nordhastedt;26,56; 2 876; 1 430; 1 446;108;25785;9,182991;54,17205;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;87;Ostrohe;6,66;951;479;472;143;25746;9,130804;54,214;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5172;107;Stelle-Wittenwurth;10,71;421;201;220;39;25795;9,066849;54,254357;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;113;Wöhrden;21,77; 1 247;621;626;57;25797;8,994508;54,165463;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5172;122;Weddingstedt;17,89; 2 326; 1 162; 1 164;130;25795;9,088863;54,239275;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5172;130;Wesseln;3,76; 1 439;723;716;383;25746;9,075443;54,208327;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;51;5175;;Mitteldithmarschen;;;;;;;;;;;;
60;64;1;0;51;5175;1;Albersdorf;17,12; 3 717; 1 838; 1 879;217;25767;9,283995;54,146557;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;2;Arkebek;6,92;198;105;93;29;25767;9,250362;54,160197;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;4;Bargenstedt;11,9;939;463;476;79;25704;9,144199;54,095594;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;6;Barlt;22,88;763;388;375;33;25719;9,058002;54,012444;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;15;Bunsoh;11,75;782;404;378;67;25767;9,320225;54,165522;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;17;Busenwurth;10,09;316;165;151;31;25719;9,04131;54,041612;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;27;Elpersbüttel;30,17;865;444;421;29;25704;9,047156;54,072963;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;28;Epenwöhrden;13,52;786;389;397;58;25704;9,052894;54,112805;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;39;Gudendorf;6,04;376;190;186;62;25693;9,1082;54,024736;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;54;Immenstedt;3,09;102;42;60;33;25767;9,299737;54,180686;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;63;Krumstedt;15,89;510;257;253;32;25727;9,177954;54,068684;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;63;1;0;51;5175;74;Meldorf, Stadt;21,26; 7 214; 3 467; 3 747;339;25704;9,068784;54,090945;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5175;78;Nindorf;8,75; 1 145;582;563;131;25704;9,114943;54,086722;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
60;64;1;0;51;5175;83;Odderade;11,27;317;155;162;28;25785;9,190795;54,139384;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;85;Offenbüttel;13,95;267;132;135;19;25767;9,357994;54,169186;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;86;Osterrade;17,09;417;213;204;24;25767;9,353264;54,190212;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;98;Sarzbüttel;13,39;695;355;340;52;25785;9,184289;54,118971;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;99;Schafstedt;18,16; 1 254;628;626;69;25725;9,293675;54,079915;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;104;Schrum;5,01;69;37;32;14;25782;9,251667;54,187229;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;126;Wennbüttel;4,59;92;42;50;20;25767;9,32237;54,137969;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;134;Windbergen;17,31;790;397;393;46;25729;9,117779;54,044978;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;135;Wolmersdorf;6,11;330;166;164;54;25704;9,103978;54,077114;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5175;137;Nordermeldorf;34,1;586;312;274;17;25704;9,013736;54,112068;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5175;138;Tensbüttel-Röst;19,36;674;338;336;35;25767;9,228605;54,105741;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;51;5178;;Büsum-Wesselburen;;;;;;;;;;;;
60;64;1;0;51;5178;13;Büsum;8,48; 4 867; 2 276; 2 591;574;25761;8,859577;54,130341;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;14;Büsumer Deichhausen;2,87;361;170;191;126;25761;8,890088;54,136175;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;33;Friedrichsgabekoog;8,62;54;29;25;6;25764;8,941082;54,157516;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;43;Hedwigenkoog;16,36;216;109;107;13;25761;8,840953;54,177985;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;45;Hellschen-Heringsand-Unterschaar;7,02;170;85;85;24;25764;8,872882;54,194536;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;50;Hillgroven;3,6;65;40;25;18;25764;8,874901;54,227921;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;79;Norddeich;6,9;411;213;198;60;25764;8,899964;54,218049;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;84;Oesterdeichstrich;4,64;269;135;134;58;25761;8,900566;54,158891;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;93;Reinsbüttel;6,83;429;215;214;63;25764;8,911057;54,179073;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;105;Schülp;9,27;403;210;193;43;25764;8,929943;54,241971;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;108;Strübbel;4,4;86;33;53;20;25792;8,971812;54,260389;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;109;Süderdeich;6,64;474;229;245;71;25764;8,91131;54,201711;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;121;Warwerort;4,58;236;125;111;52;25761;8,921723;54,141177;F01;Nordsee;3;gering besiedelt
60;63;1;0;51;5178;127;Wesselburen, Stadt;5,13; 3 336; 1 603; 1 733;650;25764;8,920686;54,212159;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;128;Wesselburener Deichhausen;5,07;107;52;55;21;25764;8,937237;54,174947;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;51;5178;129;Wesselburenerkoog;21,89;164;89;75;7;25764;8,876475;54,239438;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;132;Westerdeichstrich;7,5;866;420;446;115;25761;8,863517;54,162006;F01;Nordsee;3;gering besiedelt
60;64;1;0;51;5178;140;Oesterwurth;14,19;253;141;112;18;25764;8,991292;54,211016;F04;übrig. Schleswig-Holstein;3;gering besiedelt
40;43;1;0;53;;;Herzogtum Lauenburg;;;;;;;;;;;;
50;50;1;0;53;32;;Geesthacht, Stadt;;;;;;;;;;;;
60;63;1;0;53;32;32;Geesthacht, Stadt;33,25; 30 407; 14 855; 15 552;914;21502;10,371785;53,433626;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;83;;Lauenburg/ Elbe, Stadt;;;;;;;;;;;;
60;63;1;0;53;83;83;Lauenburg/ Elbe, Stadt;9,56; 11 485; 5 740; 5 745; 1 201;21481;10,554267;53,374189;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;90;;Mölln, Stadt;;;;;;;;;;;;
60;63;1;0;53;90;90;Mölln, Stadt;25,05; 18 928; 9 041; 9 887;756;23879;10,691022;53,629521;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;100;;Ratzeburg, Stadt;;;;;;;;;;;;
60;63;1;0;53;100;100;Ratzeburg, Stadt;30,29; 14 595; 6 900; 7 695;482;23909;10,774492;53,699024;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;116;;Schwarzenbek, Stadt;;;;;;;;;;;;
