Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1980;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche km2  ;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 31.12.1980;;;;;;am 31.12.1980 (Jahr);;;;
;;;;;;;;;;;;
60;;7;2;32;;282;Oberkail;24,26;753;373;380;31
60;;7;2;32;;283;Oberlascheid;9,31;187;92;95;20
60;;7;2;32;;284;Oberlauch;3,6;59;31;28;16
60;;7;2;32;;285;Oberpierscheid;6,19;324;173;151;52
60;;7;2;32;;287;Olmscheid;4,87;167;80;87;34
60;;7;2;32;;288;Olzheim;16,22;352;187;165;22
60;;7;2;32;;289;Orenhofen;12,05; 1 273;563;710;106
60;;7;2;32;;290;Orlenbach;6,21;167;74;93;27
60;;7;2;32;;291;Pintesfeld;1,9;41;18;23;22
60;;7;2;32;;292;Pittenbach;3,86;92;48;44;24
60;;7;2;32;;293;Plütscheid;12,68;325;157;168;26
60;;7;2;32;;294;Preischeid;6,23;176;91;85;28
60;;7;2;32;;295;Pronsfeld;15,45;823;402;421;53
60;;7;2;32;;296;Prüm, Stadt;22,81; 5 280; 2 445; 2 835;231
60;;7;2;32;;297;Reiff;5,81;58;27;31;10
60;;7;2;32;;298;Reipeldingen;4,75;95;43;52;20
60;;7;2;32;;300;Rommersheim;16,95;620;296;324;37
60;;7;2;32;;301;Roscheid;5,12;116;61;55;23
60;;7;2;32;;302;Roth bei Prüm;19,06;367;179;188;19
60;;7;2;32;;304;Schönecken;13,35; 1 760;802;958;132
60;;7;2;32;;305;Schwirzheim;13,68;416;201;215;30
60;;7;2;32;;306;Seinsfeld;6,71;219;105;114;33
60;;7;2;32;;307;Seiwerath;8,94;161;78;83;18
60;;7;2;32;;308;Sellerich;17,37;300;146;154;17
60;;7;2;32;;309;Sengerich;1,1;33;15;18;30
60;;7;2;32;;310;Sevenig (Our);4,84;97;40;57;20
60;;7;2;32;;311;Spangdahlem;13,43;865;410;455;64
60;;7;2;32;;313;Steinborn;11,29;244;120;124;22
60;;7;2;32;;315;Strickscheid;1,41;52;30;22;37
60;;7;2;32;;318;Wallersheim;14,51;671;345;326;46
60;;7;2;32;;320;Watzerath;4,62;317;146;171;69
60;;7;2;32;;321;Wawern;7,64;318;168;150;42
60;;7;2;32;;322;Waxweiler;5,95; 1 144;515;629;192
60;;7;2;32;;327;Winringen;2,56;73;43;30;29
60;;7;2;32;;328;Winterscheid;8,45;166;73;93;20
60;;7;2;32;;329;Winterspelt;25,52;823;405;418;32
60;;7;2;32;;331;Zendscheid;2,35;139;65;74;59
